x;letter;letter_f;ieme;ieme_f;ieme_number;ieme_number_f
0;zéro;zéro;;;;
1;un;une;premier;première;1er;1ère
2;deux;deux;deuxième;deuxième;2ème;2ème
3;trois;trois;troisième;troisième;3ème;3ème
4;quatre;quatre;quatrième;quatrième;4ème;4ème
5;cinq;cinq;cinquième;cinquième;5ème;5ème
6;six;six;sixième;sixième;6ème;6ème
7;sept;sept;septième;septième;7ème;7ème
8;huit;huit;huitième;huitième;8ème;8ème
9;neuf;neuf;neuvième;neuvième;9ème;9ème
10;dix;dix;dixième;dixième;10ème;10ème
11;onze;onze;onzième;onzième;11ème;11ème
12;douze;douze;douzième;douzième;12ème;12ème
13;treize;treize;treizième;treizième;13ème;13ème
14;quatorze;quatorze;quatorzième;quatorzième;14ème;14ème
15;quinze;quinze;quinzième;quinzième;15ème;15ème
16;seize;seize;seizième;seizième;16ème;16ème
17;dix-sept;dix-sept;dix-septième;dix-septième;17ème;17ème
18;dix-huit;dix-huit;dix-huitième;dix-huitième;18ème;18ème
19;dix-neuf;dix-neuf;dix-neuvième;dix-neuvième;19ème;19ème
20;vingt;vingt;vingtième;vingtième;20ème;20ème
21;vingt-et-un;vingt-et-un;vingt-et-unième;vingt-et-unième;21ème;21ème
22;vingt-deux;vingt-deux;vingt-deuxième;vingt-deuxième;22ème;22ème
23;vingt-trois;vingt-trois;vingt-troisième;vingt-troisième;23ème;23ème
24;vingt-quatre;vingt-quatre;vingt-quatrième;vingt-quatrième;24ème;24ème
25;vingt-cinq;vingt-cinq;vingt-cinquième;vingt-cinquième;25ème;25ème
26;vingt-six;vingt-six;vingt-sixième;vingt-sixième;26ème;26ème
27;vingt-sept;vingt-sept;vingt-septième;vingt-septième;27ème;27ème
28;vingt-huit;vingt-huit;vingt-huitième;vingt-huitième;28ème;28ème
29;vingt-neuf;vingt-neuf;vingt-neuvième;vingt-neuvième;29ème;29ème
30;trente;trente;trentième;trentième;30ème;30ème
31;trente-et-un;trente-et-un;trente-et-unième;trente-et-unième;31ème;31ème
32;trente-deux;trente-deux;trente-deuxième;trente-deuxième;32ème;32ème
33;trente-trois;trente-trois;trente-troisième;trente-troisième;33ème;33ème
34;trente-quatre;trente-quatre;trente-quatrième;trente-quatrième;34ème;34ème
35;trente-cinq;trente-cinq;trente-cinquième;trente-cinquième;35ème;35ème
36;trente-six;trente-six;trente-sixième;trente-sixième;36ème;36ème
37;trente-sept;trente-sept;trente-septième;trente-septième;37ème;37ème
38;trente-huit;trente-huit;trente-huitième;trente-huitième;38ème;38ème
39;trente-neuf;trente-neuf;trente-neuvième;trente-neuvième;39ème;39ème
40;quarante;quarante;quarantième;quarantième;40ème;40ème
41;quarante-et-un;quarante-et-un;quarante-et-unième;quarante-et-unième;41ème;41ème
42;quarante-deux;quarante-deux;quarante-deuxième;quarante-deuxième;42ème;42ème
43;quarante-trois;quarante-trois;quarante-troisième;quarante-troisième;43ème;43ème
44;quarante-quatre;quarante-quatre;quarante-quatrième;quarante-quatrième;44ème;44ème
45;quarante-cinq;quarante-cinq;quarante-cinquième;quarante-cinquième;45ème;45ème
46;quarante-six;quarante-six;quarante-sixième;quarante-sixième;46ème;46ème
47;quarante-sept;quarante-sept;quarante-septième;quarante-septième;47ème;47ème
48;quarante-huit;quarante-huit;quarante-huitième;quarante-huitième;48ème;48ème
49;quarante-neuf;quarante-neuf;quarante-neuvième;quarante-neuvième;49ème;49ème
50;cinquante;cinquante;cinquantième;cinquantième;50ème;50ème
51;cinquante-et-un;cinquante-et-un;cinquante-et-unième;cinquante-et-unième;51ème;51ème
52;cinquante-deux;cinquante-deux;cinquante-deuxième;cinquante-deuxième;52ème;52ème
53;cinquante-trois;cinquante-trois;cinquante-troisième;cinquante-troisième;53ème;53ème
54;cinquante-quatre;cinquante-quatre;cinquante-quatrième;cinquante-quatrième;54ème;54ème
55;cinquante-cinq;cinquante-cinq;cinquante-cinquième;cinquante-cinquième;55ème;55ème
56;cinquante-six;cinquante-six;cinquante-sixième;cinquante-sixième;56ème;56ème
57;cinquante-sept;cinquante-sept;cinquante-septième;cinquante-septième;57ème;57ème
58;cinquante-huit;cinquante-huit;cinquante-huitième;cinquante-huitième;58ème;58ème
