language;stopword
fr;au
fr;aux
fr;avec
fr;ce
fr;ces
fr;dans
fr;de
fr;des
fr;du
fr;elle
fr;en
fr;et
fr;eux
fr;il
fr;je
fr;la
fr;le
fr;leur
fr;lui
fr;ma
fr;mais
fr;me
fr;même
fr;mes
fr;moi
fr;mon
fr;ne
fr;nos
fr;notre
fr;nous
fr;on
fr;ou
fr;par
fr;pas
fr;pour
fr;qu
fr;que
fr;qui
fr;sa
fr;se
fr;ses
fr;son
fr;sur
fr;ta
fr;te
fr;tes
fr;toi
fr;ton
fr;tu
fr;un
fr;une
fr;vos
fr;votre
fr;vous
fr;c
fr;d
fr;j
fr;l
fr;à
fr;m
fr;n
fr;s
fr;t
fr;y
fr;ceci
fr;cela
fr;cet
fr;cette
fr;ici
fr;ils
fr;les
fr;leurs
fr;quel
fr;quels
fr;quelle
fr;quelles
fr;sans
fr;soi
en;a
en;an
en;the
en;and
en;but
en;if
en;or
en;because
en;as
en;until
en;while
en;of
en;at
en;by
en;for
en;with
en;about
en;against
en;between
en;into
en;through
en;during
en;before
en;after
en;above
en;below
en;to
en;from
en;up
en;down
en;in
en;out
en;on
en;off
en;over
en;under
en;again
en;further
en;then
en;once
en;here
en;there
en;when
en;where
en;why
en;how
en;all
en;any
en;both
en;each
en;few
en;more
en;most
en;other
en;some
en;such
en;no
en;nor
en;not
en;only
en;own
en;same
en;so
en;than
en;too
en;very
fr;entre
