word;word_fr_accent
10eme;10ème
11eme;11ème
12eme;12ème
13eme;13ème
14eme;14ème
15eme;15ème
16eme;16ème
17eme;17ème
18eme;18ème
19eme;19ème
1ere;1ère
1eres;1ères
20eme;20ème
2eme;2ème
3eme;3ème
4eme;4ème
5eme;5ème
6eme;6ème
7eme;7ème
8eme;8ème
9eme;9ème
abaissee;abaissée
abandonnee;abandonnée
abandonnees;abandonnées
abbe;abbé
abbes;abbés
abces;abcès
abecedaire;abécédaire
abecedaires;abécédaires
abeche;abéché
abelienne;abélienne
abeliennes;abéliennes
abeliens;abéliens
ablatee;ablatée
abordee;abordée
abordees;abordées
aborigene;aborigène
aborigenes;aborigènes
abrege;abrégé
abregee;abrégée
abreger;abréger
abreges;abrégés
abreuvee;abreuvée
abreviateur;abréviateur
abreviations;abréviations
abritee;abritée
absenteisme;absentéisme
absorbee;absorbée
absorbees;absorbées
absorptiometrie;absorptiométrie
academicien;académicien
academiciennes;académiciennes
academiciens;académiciens
academie;académie
academies;académies
academique;académique
academiquement;académiquement
academiques;académiques
academisme;académisme
accaparee;accaparée
accaparees;accaparées
accedant;accédant
accede;accédé
accedent;accèdent
acceder;accéder
accedons;accédons
accelerateur;accélérateur
accelerateurs;accélérateurs
acceleration;accélération
accelerations;accélérations
acceleratrices;accélératrices
acceleree;accélérée
accelerees;accélérées
accelerent;accélèrent
accelerer;accélérer
acceleres;accélérés
accelerometre;accéléromètre
accelerometres;accéléromètres
accentuee;accentuée
accentuees;accentuées
acceptabilite;acceptabilité
acceptabilites;acceptabilités
acceptee;acceptée
acceptees;acceptées
acces;accès
accessibilite;accessibilité
accessibilites;accessibilités
acclimatees;acclimatées
accommodee;accommodée
accompagnee;accompagnée
accompagnees;accompagnées
accordee;accordée
accordees;accordées
accorderent;accordèrent
accorees;accorées
accouplee;accouplée
accoutumee;accoutumée
accreditation;accréditation
accreditations;accréditations
accredite;accrédité
accreditee;accréditée
accreditees;accréditées
accrediter;accréditer
accretion;accrétion
accrochee;accrochée
accroitre;accroître
accumulee;accumulée
accumulees;accumulées
acephale;acéphale
acere;acéré
aceree;acérée
acetabulaires;acétabulaires
acetal;acétal
acetate;acétate
acetates;acétates
acetique;acétique
acetiques;acétiques
acetone;acétone
acetylation;acétylation
acetylcholine;acétylcholine
acetylee;acétylée
acetylene;acétylène
acetylenes;acétylènes
acetyleniques;acétyléniques
acetyles;acétylés
acetylure;acétylure
acetylures;acétylures
achemenide;achéménide
achemenides;achéménides
acheron;achéron
achete;acheté
achetee;achetée
achetees;achetées
acheuleen;acheuléen
acheuleennes;acheuléennes
acheuleens;acheuléens
achevee;achevée
achevees;achevées
achevement;achèvement
achevent;achèvent
achevera;achèvera
acheveront;achèveront
acheves;achevés
acidite;acidité
acierie;aciérie
acquerant;acquérant
acquereur;acquéreur
acquerir;acquérir
acquets;acquêts
acquiere;acquière
acquierent;acquièrent
acroleine;acroléine
actees;actées
acteon;actéon
actinomycetes;actinomycètes
actionnees;actionnées
activee;activée
activees;activées
activite;activité
activites;activités
actualisee;actualisée
actualisees;actualisées
actualite;actualité
actualites;actualités
adalberon;adalbéron
adaptabilite;adaptabilité
adaptee;adaptée
adaptees;adaptées
adele;adèle
adelie;adélie
adenine;adénine
adenines;adénines
adenocarcinome;adénocarcinome
adenocarcinomes;adénocarcinomes
adenomateuse;adénomateuse
adenomes;adénomes
adenosine;adénosine
adenovirus;adénovirus
adequat;adéquat
adequate;adéquate
adequatement;adéquatement
adequates;adéquates
adequation;adéquation
adequats;adéquats
adhemar;adhémar
adherant;adhérant
adherees;adhérées
adherence;adhérence
adherences;adhérences
adherente;adhérente
adherentes;adhérentes
adherents;adhérents
adherer;adhérer
adheres;adhérés
adhesif;adhésif
adhesifs;adhésifs
adhesion;adhésion
adhesions;adhésions
adhesive;adhésive
adhesives;adhésives
adiposite;adiposité
administree;administrée
administrees;administrées
admissibilite;admissibilité
adoptee;adoptée
adoptees;adoptées
adossee;adossée
adossees;adossées
adrenaline;adrénaline
adrenergique;adrénergique
adrenergiques;adrénergiques
adressee;adressée
adressees;adressées
adsorbee;adsorbée
adsorbees;adsorbées
adultere;adultère
adversite;adversité
aeration;aération
aeraulique;aéraulique
aerauliques;aérauliques
aere;aéré
aeres;aérés
aerien;aérien
aerienne;aérienne
aeriennes;aériennes
aeriens;aériens
aero;aéro
aerobie;aérobie
aerobies;aérobies
aerodynamique;aérodynamique
aerodynamiques;aérodynamiques
aerodynamisme;aérodynamisme
aeroelasticite;aéroélasticité
aerogel;aérogel
aerogels;aérogels
aerologie;aérologie
aeromaritime;aéromaritime
aeronautes;aéronautes
aeronautique;aéronautique
aeronautiques;aéronautiques
aeronef;aéronef
aeronefs;aéronefs
aeronomie;aéronomie
aeroport;aéroport
aeroporte;aéroporté
aeroportee;aéroportée
aeroportees;aéroportées
aeroportes;aéroportés
aeroports;aéroports
aeroportuaire;aéroportuaire
aeroportuaires;aéroportuaires
aeropostale;aéropostale
aerosol;aérosol
aerosols;aérosols
aerospatial;aérospatial
aerospatiale;aérospatiale
aerospatiales;aérospatiales
aerospatiaux;aérospatiaux
aerotechnique;aérotechnique
aerothermique;aérothermique
aerothermodynamique;aérothermodynamique
affectee;affectée
affectees;affectées
affectivite;affectivité
afferences;afférences
afferent;afférent
afferente;afférente
afferentes;afférentes
afferents;afférents
affichee;affichée
affichees;affichées
affiliee;affiliée
affiliees;affiliées
affinee;affinée
affinite;affinité
affinites;affinités
affirmee;affirmée
affirmees;affirmées
affretement;affrètement
affriquees;affriquées
affrontees;affrontées
affronterent;affrontèrent
africanite;africanité
